GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mpr1,org.example.exception,ApiException,0,9,0,0,0,4,0,2,0,2
mpr1,org.example.exception,InvalidDataException,0,10,0,0,0,4,0,2,0,2
mpr1,org.example.model,ImportSummary,0,30,0,0,0,8,0,4,0,4
mpr1,org.example.model,Employee,0,132,0,2,0,38,0,18,0,17
mpr1,org.example.model,CompanyStatistics,22,21,0,0,2,8,1,4,1,4
mpr1,org.example.model,ImportSummary.ImportError,6,15,0,0,1,6,1,3,1,3
mpr1,org.example.model,Position,0,49,0,0,0,10,0,3,0,3
mpr1,org.example.service,ImportService,47,187,7,15,9,45,7,8,0,4
mpr1,org.example.service,EmployeeService,2,363,1,37,0,81,1,30,0,12
mpr1,org.example.service,ApiService,8,123,1,5,2,28,1,6,0,4
mpr1,org.example,Main,215,0,10,0,51,0,7,0,2,0
